timestamp,close,signal_max,signal_ma,signal_bb
1622250300000.0,36304.35,0,0,0
1622250900000.0,36261.35,0,1,0
1622251500000.0,36355.19,0,1,0
1622252400000.0,36100.01,0,1,0
1622253300000.0,36420.19,0,1,0
1622253900000.0,36266.67,0,1,0
1622254800000.0,36304.46,0,1,0
1622255100000.0,36295.02,0,1,0
1622255700000.0,36401.69,0,1,0
1622256600000.0,36213.59,0,1,0
1622257500000.0,36430.19,0,1,0
1622258400000.0,36715.54,0,1,0
1622258700000.0,36492.34,0,1,0
1622259300000.0,36329.99,0,1,0
1622260200000.0,36623.56,0,1,0
1622261100000.0,36400.0,0,1,0
1622261700000.0,36514.34,0,1,0
1622262600000.0,36324.8,0,1,0
1622263500000.0,35962.95,0,1,1
1622264100000.0,35722.75,0,1,1
1622264400000.0,35955.37,0,1,0
1622264700000.0,36053.48,0,1,0
1622265000000.0,37043.83,0,1,0
1622265600000.0,36973.0,0,1,0
1622265900000.0,37156.01,0,1,0
1622266200000.0,37013.14,0,1,0
1622266500000.0,36944.89,0,1,0
1622267100000.0,36889.44,0,1,0
1622267700000.0,37023.26,0,1,0
1622268300000.0,36991.18,0,1,0
1622268900000.0,36868.34,0,1,0
1622269800000.0,36787.28,0,1,0
1622270700000.0,36639.82,0,1,0
1622271300000.0,36649.91,0,1,0
1622271900000.0,36593.24,0,1,0
1622272500000.0,36581.56,0,1,0
1622273100000.0,36464.7,0,1,0
1622273700000.0,36269.66,0,1,0
1622274000000.0,36159.2,0,1,0
1622274300000.0,36231.42,0,1,0
1622274900000.0,36194.2,0,1,0
1622275500000.0,36226.01,0,1,0
1622276100000.0,36261.92,0,1,0
1622276400000.0,35830.33,0,1,1
1622277000000.0,35876.7,0,1,0
1622277300000.0,35754.86,0,1,0
1622277900000.0,35904.48,0,1,0
1622278500000.0,35476.63,0,0,0
1622279100000.0,35421.19,0,0,0
1622279400000.0,35188.0,0,0,1
1622280000000.0,35181.41,0,0,0
1622280300000.0,35100.01,0,0,0
1622280600000.0,34972.44,0,0,0
1622280900000.0,35326.81,0,0,0
1622281200000.0,35480.96,0,0,0
1622281800000.0,35392.63,0,0,0
1622282400000.0,35277.9,0,0,0
1622283000000.0,35097.99,0,0,0
1622283600000.0,35223.03,0,0,0
1622284200000.0,35352.73,0,0,0
1622284800000.0,35267.02,0,0,0
1622285400000.0,35250.0,0,0,0
1622286000000.0,35258.14,0,0,0
1622286600000.0,34777.37,0,0,0
1622287200000.0,34974.17,0,0,0
1622287500000.0,35343.4,0,0,0
1622287800000.0,35618.4,0,0,0
1622288100000.0,35453.23,0,0,0
1622288400000.0,35557.46,0,0,0
1622289000000.0,35517.89,0,0,0
1622289300000.0,34893.49,0,0,0
1622289900000.0,35094.24,0,0,0
1622290200000.0,34865.6,0,0,0
1622290800000.0,34948.47,0,0,0
1622291400000.0,34943.91,0,0,0
1622292000000.0,34867.17,0,0,0
1622292300000.0,34886.35,0,0,0
1622292600000.0,34803.58,0,0,0
1622293200000.0,34904.86,0,0,0
1622293500000.0,34499.81,0,0,0
1622294100000.0,34608.95,0,0,0
1622294400000.0,34292.55,0,0,0
1622295000000.0,34279.0,0,0,0
1622295300000.0,34380.35,0,0,0
1622295600000.0,34614.72,0,0,0
1622296200000.0,34888.18,0,0,0
1622296800000.0,35265.39,0,0,0
1622297100000.0,35140.0,0,0,0
1622297400000.0,34832.25,0,0,0
1622298000000.0,34692.12,0,0,0
1622298300000.0,34687.25,0,0,0
1622298900000.0,34543.01,0,0,0
1622299200000.0,34529.99,0,0,0
1622299500000.0,34592.64,0,0,0
1622299800000.0,34523.28,0,0,0
1622300100000.0,34531.35,0,0,0
1622300700000.0,34467.25,0,0,0
1622301000000.0,34130.0,0,0,0
1622301300000.0,34149.81,0,0,0
1622301600000.0,34235.49,0,0,0
1622301900000.0,34567.69,0,0,0
1622302200000.0,34199.0,0,0,0
1622302500000.0,34370.35,0,0,0
1622302800000.0,34362.51,0,0,0
1622303100000.0,34229.51,0,0,0
1622303700000.0,34569.65,0,0,0
1622304300000.0,34248.81,0,0,0
1622304600000.0,34360.6,0,0,0
1622305200000.0,34296.08,0,0,0
1622305800000.0,34452.02,0,0,0
1622306100000.0,34589.21,0,0,0
1622306700000.0,34781.29,0,0,0
1622307300000.0,34850.29,0,0,0
1622307600000.0,34652.08,0,0,0
1622307900000.0,34373.18,0,0,0
1622308500000.0,34297.43,0,0,0
1622308800000.0,34305.38,0,0,0
1622309400000.0,34314.06,0,0,0
1622310000000.0,33977.27,0,0,1
1622310600000.0,33768.74,0,0,1
1622310900000.0,33913.82,0,0,0
1622311200000.0,33858.89,0,0,0
1622311500000.0,33753.91,0,0,0
1622311800000.0,33688.38,0,0,0
1622312100000.0,33838.73,0,0,0
1622312700000.0,34122.67,0,0,0
1622313300000.0,34058.77,0,0,0
1622313900000.0,33969.07,0,0,0
1622314500000.0,34104.58,0,0,0
1622315100000.0,33863.7,0,0,0
1622315700000.0,33767.13,0,0,0
1622316300000.0,34019.99,0,0,0
1622316900000.0,34054.15,0,0,0
1622317500000.0,34049.1,0,0,0
1622318100000.0,34196.91,0,0,0
1622319000000.0,33918.78,0,0,0
1622319600000.0,34104.81,0,0,0
1622320200000.0,34223.08,0,0,0
1622320500000.0,34402.88,0,0,0
1622320800000.0,34143.43,0,0,0
1622321400000.0,34245.76,0,0,0
1622322000000.0,34299.37,0,0,0
1622322600000.0,34293.84,0,0,0
1622323500000.0,34421.37,0,0,0
1622324400000.0,34585.33,0,0,0
1622325000000.0,34646.95,0,0,0
1622325600000.0,34416.32,0,0,0
1622326500000.0,34395.71,0,0,0
1622327400000.0,34472.14,0,0,0
1622328300000.0,34474.99,0,1,0
1622329200000.0,34356.94,0,1,0
1622329800000.0,34828.61,0,1,0
1622330700000.0,34957.98,0,1,0
1622331300000.0,34665.09,0,1,0
1622331900000.0,34579.0,0,1,0
1622332500000.0,34322.58,0,1,0
1622333100000.0,34237.42,0,1,0
1622333700000.0,33941.9,0,1,1
1622334000000.0,33907.29,0,1,0
1622334300000.0,33843.65,0,1,0
1622334900000.0,33512.28,0,1,1
1622335200000.0,33660.35,0,1,0
1622335800000.0,33865.8,0,1,0
1622336400000.0,33765.46,0,1,0
1622337000000.0,33861.56,0,1,0
1622337600000.0,33753.94,0,1,0
1622338200000.0,33824.72,0,1,0
1622338800000.0,33844.01,0,1,0
1622339400000.0,33826.2,0,0,0
1622340300000.0,34018.79,0,0,0
1622340900000.0,34248.74,0,0,0
1622341500000.0,34425.99,0,0,0
1622342100000.0,34449.0,0,0,0
1622343000000.0,34562.55,0,0,0
1622343900000.0,34754.65,0,0,0
1622344800000.0,34551.61,0,0,0
1622345400000.0,34579.56,0,0,0
1622346000000.0,34669.89,0,0,0
1622346600000.0,34780.52,0,0,0
1622347200000.0,34795.7,0,0,0
1622347800000.0,34760.09,0,0,0
1622348700000.0,35140.99,0,1,0
1622349300000.0,34874.94,0,1,0
1622349900000.0,34691.12,0,1,0
1622350500000.0,34912.03,0,1,0
1622351400000.0,35107.2,0,1,0
1622352000000.0,35238.14,0,1,0
1622352600000.0,35214.99,0,1,0
1622353200000.0,35370.44,0,1,0
1622353800000.0,35325.09,0,1,0
1622354400000.0,35471.14,0,1,0
1622354700000.0,35396.49,0,1,0
1622355300000.0,35375.95,0,1,0
1622356200000.0,35363.08,0,1,0
1622356500000.0,35625.61,0,1,0
1622356800000.0,35651.03,0,1,0
1622357100000.0,35824.55,0,1,0
1622357700000.0,35925.84,0,1,0
1622358300000.0,35659.35,0,1,0
1622358900000.0,35605.05,0,1,0
1622359500000.0,35822.68,0,1,0
1622360100000.0,36134.09,0,1,0
1622360700000.0,36041.01,0,1,0
1622361300000.0,35859.25,0,1,0
1622361900000.0,35758.51,0,1,0
1622362200000.0,35719.38,0,1,0
1622362800000.0,35663.95,0,1,0
1622363100000.0,35777.02,0,1,0
1622363700000.0,35784.81,0,1,0
1622364300000.0,35694.75,0,1,0
1622365200000.0,35922.9,0,1,0
1622365800000.0,35849.57,0,1,0
1622366700000.0,35770.52,0,1,0
1622367600000.0,35966.31,0,1,0
1622368500000.0,35896.07,0,1,0
1622369400000.0,35692.17,0,1,0
1622370000000.0,35913.63,0,1,0
1622370600000.0,35845.81,0,1,0
1622371200000.0,35784.44,0,1,0
1622372100000.0,35881.27,0,1,0
1622373000000.0,35808.78,0,1,0
1622373900000.0,36093.96,0,1,0
1622374800000.0,36004.89,0,1,0
1622375400000.0,36238.97,0,1,0
1622375700000.0,36152.83,0,1,0
1622376300000.0,36089.99,0,1,0
1622376900000.0,35896.01,0,1,0
1622377200000.0,35999.99,0,1,0
1622377800000.0,35823.35,0,1,0
1622378400000.0,35393.27,0,1,1
1622379000000.0,35461.06,0,1,1
1622379300000.0,35457.35,0,1,0
1622379900000.0,35707.09,0,1,0
1622380500000.0,35705.89,0,1,0
1622381100000.0,35636.26,0,1,0
1622381700000.0,35545.6,0,1,0
1622382300000.0,35698.49,0,1,0
1622383200000.0,35621.45,0,1,0
1622384100000.0,35270.8,0,1,0
1622384700000.0,35274.37,0,0,0
1622385000000.0,35337.5,0,0,0
1622385300000.0,35448.29,0,0,0
1622385600000.0,35483.89,0,0,0
1622386200000.0,35374.5,0,0,0
1622386800000.0,35608.34,0,0,0
1622387400000.0,35360.31,0,0,0
1622388000000.0,35408.0,0,0,0
1622388900000.0,35508.32,0,0,0
1622389800000.0,35496.08,0,0,0
1622390700000.0,35517.52,0,0,0
1622391300000.0,35797.91,0,0,0
1622391900000.0,35807.73,0,0,0
1622392500000.0,35700.95,0,0,0
1622393100000.0,35734.13,0,0,0
1622394000000.0,35814.29,0,0,0
1622394900000.0,35891.93,0,0,0
1622395500000.0,35896.72,0,0,0
1622396700000.0,35950.84,0,0,0
1622397300000.0,35969.9,0,0,0
1622398200000.0,36135.01,0,0,0
1622398800000.0,36198.76,0,0,0
1622399700000.0,36117.0,0,0,0
1622400600000.0,36121.1,0,1,0
1622401500000.0,36049.49,0,1,0
1622402400000.0,36054.11,0,1,0
1622403300000.0,36092.55,0,1,0
1622404500000.0,35987.0,0,1,0
1622405100000.0,36234.71,0,1,0
1622406000000.0,36309.58,0,1,0
1622406600000.0,36081.42,0,1,0
1622407500000.0,36068.11,0,1,0
1622408400000.0,36005.56,0,1,0
1622409300000.0,36098.21,0,1,0
1622410500000.0,36098.1,0,1,0
1622411700000.0,35917.28,0,1,0
1622412600000.0,35930.93,0,1,0
1622413800000.0,35745.82,0,1,1
1622414400000.0,35778.9,0,1,0
1622415300000.0,35616.7,0,1,1
1622416200000.0,35613.8,0,1,1
1622416800000.0,35701.88,0,1,0
1622418000000.0,35635.77,0,1,0
1622418900000.0,35864.67,0,1,0
1622419500000.0,35995.02,0,1,0
1622419800000.0,35476.97,0,1,0
1622420400000.0,35386.88,0,1,0
1622420700000.0,35250.82,0,1,1
1622421300000.0,35307.69,0,1,0
1622421900000.0,35327.46,0,0,0
1622422800000.0,35281.49,0,0,0
1622423400000.0,35198.36,0,0,0
1622424000000.0,35220.39,0,0,0
1622424600000.0,34929.58,0,0,0
1622424900000.0,34871.97,0,0,0
1622425200000.0,34851.28,0,0,0
1622425800000.0,34834.73,0,0,0
1622426400000.0,34727.63,0,0,0
1622427000000.0,34640.01,0,0,0
1622427600000.0,34714.99,0,0,0
1622428200000.0,34808.57,0,0,0
1622428800000.0,34937.02,0,0,0
1622429400000.0,34735.45,0,0,0
1622430000000.0,34485.9,0,0,0
1622430300000.0,34377.78,0,0,0
1622430600000.0,34417.2,0,0,0
1622430900000.0,34561.02,0,0,0
1622431500000.0,34566.47,0,0,0
1622432100000.0,34443.92,0,0,0
1622432700000.0,34359.55,0,0,0
1622433300000.0,34666.0,0,0,0
1622433900000.0,34317.01,0,0,0
1622434500000.0,34258.46,0,0,0
1622435100000.0,34300.0,0,0,0
1622435700000.0,34435.94,0,0,0
1622436300000.0,34464.93,0,0,0
1622437200000.0,34263.26,0,0,0
1622437500000.0,34300.01,0,0,0
1622438100000.0,34519.6,0,0,0
1622438700000.0,34633.2,0,0,0
1622439300000.0,34515.6,0,0,0
1622439900000.0,34497.18,0,0,0
1622440500000.0,34594.71,0,0,0
1622441100000.0,34699.71,0,0,0
1622441700000.0,34844.95,0,0,0
1622442300000.0,34755.81,0,0,0
1622442900000.0,34833.06,0,0,0
1622443500000.0,34959.71,0,0,0
1622444100000.0,35287.81,0,0,0
1622444700000.0,35301.18,0,0,0
1622445000000.0,35362.23,0,0,0
1622445300000.0,35588.21,0,0,0
1622445600000.0,35577.71,0,0,0
1622445900000.0,35741.01,0,1,0
1622446200000.0,35791.61,0,1,0
1622446800000.0,35825.72,0,1,0
1622447100000.0,35793.83,0,1,0
1622447700000.0,35659.3,0,1,0
1622448300000.0,35691.47,0,1,0
1622448900000.0,35999.99,0,1,0
1622449500000.0,35986.34,0,1,0
1622449800000.0,36169.99,0,1,0
1622450100000.0,36111.12,0,1,0
1622450700000.0,36075.53,0,1,0
1622451300000.0,36060.63,0,1,0
1622451900000.0,36162.96,0,1,0
1622452500000.0,36145.99,0,1,0
1622453100000.0,36341.66,1,1,0
1622453700000.0,36127.85,0,1,0
1622454300000.0,35909.81,0,1,0
1622454600000.0,35952.58,0,1,0
1622454900000.0,36573.58,1,1,0
1622455500000.0,36472.08,0,1,0
1622455800000.0,36726.51,1,1,0
