is_long,price,atr,volume,long_liquidations,short_liquidations,minute_of_session,target_meta_label,sma_trend_1h
1,82619.0,216.42857142857142,14.065148,0.05171,0.05171,250,0,0
0,84847.0,82.14285714285714,17.01725,0.0064259999999999,0.268538,245,0,1
0,87411.0,257.5,36.836826,0.0305159999999999,1.356226,250,0,1
0,87513.0,229.57142857142858,33.95843,2.41223,0.0693,245,1,1
0,82325.0,581.8571428571429,42.1341,0.152324,0.164072,250,1,1
0,77225.0,640.9285714285714,138.446868,0.004132,0.2212819999999999,250,0,1
0,82920.0,524.7142857142857,75.45331200000001,0.23889,0.393212,250,1,1
0,86008.0,297.2857142857143,63.266858,0.093314,0.189656,250,1,1
0,83904.0,328.5,31.818936,0.039644,0.653118,255,0,1
0,84308.0,96.92857142857143,3.714876,0.0,0.2360799999999999,255,0,1
0,87415.0,376.64285714285717,63.835032,1.194774,0.0554579999999999,250,1,1
0,92899.0,110.78571428571429,16.840822,0.64049,0.006478,245,1,1
0,93925.0,102.42857142857143,17.625388,1.121862,0.0095979999999999,250,1,1
0,93731.0,173.14285714285714,27.184320000000003,0.137104,0.106706,255,1,0
0,96861.0,286.35714285714283,31.027368000000003,0.783562,0.131034,255,0,0
0,99322.0,125.14285714285714,47.455676,0.018204,6.249388,245,1,0
0,103329.0,246.57142857142858,19.62842,0.513466,0.16514,250,1,1
0,104221.0,194.28571428571428,48.34214,0.005986,1.234602,245,1,1
0,103662.0,224.07142857142858,32.835316,0.0871079999999999,0.4456159999999999,250,1,1
0,104375.0,270.35714285714283,21.005736,2.297376,1.408642,255,0,1
0,109314.0,475.42857142857144,71.36903600000001,1.356726,0.1406919999999999,245,1,1
0,107613.0,125.57142857142857,7.727066000000001,0.026982,0.0244239999999999,250,1,1
0,108771.0,237.64285714285714,52.960564,0.085614,0.085614,245,1,0
0,104297.0,323.64285714285717,155.383596,0.0123299999999999,0.0123299999999999,250,1,1
0,104959.0,183.85714285714286,46.771044,0.549104,0.549104,250,1,0
0,105500.0,96.0,4.151092,0.029514,0.029514,245,1,1
0,107081.0,251.35714285714286,94.641412,4.278916000000001,4.278916000000001,255,0,1
