timestamp,open,high,low,close,volume
1641225075618,46800.0,46803.1,46666.66,46675.57,2141.898
1641225173240,46679.27,46735.14,46565.0,46565.0,2143.732
1641225319138,46564.86,46729.04,46560.0,46646.97,2143.516
1641225526530,46646.96,46790.77,46612.27,46741.5,2141.838
1641225844509,46741.51,46745.19,46550.0,46596.82,2144.069
1641226156993,46596.89,46726.67,46510.31,46533.5,2143.809
1641226569113,46510.31,46552.27,46428.0,46446.4,2151.501
1641226656582,46446.41,46565.0,46385.1,46385.1,2153.038
1641226821921,46385.0,46455.15,46326.85,46340.63,2155.025
1641226994846,46340.64,46388.11,46260.4,46323.6,2159.478
1641227166340,46323.62,46427.19,46304.22,46322.4,2156.249
1641227430373,46322.72,46475.52,46300.72,46400.01,2154.778
1641227795762,46400.0,46532.65,46366.52,46429.77,2152.802
1641228219130,46429.78,46473.94,46315.78,46363.8,2154.997
1641228824130,46363.8,46579.73,46361.66,46568.39,2151.435
1641229462367,46568.4,46642.51,46434.05,46441.21,2147.635
1641229991820,46440.43,46607.88,46402.03,46607.88,2146.154
1641230927538,46608.04,46797.66,46559.53,46649.38,2145.112
1641231054158,46650.03,46800.0,46613.2,46643.66,2141.438
1641231590761,46643.65,46690.86,46550.57,46618.37,2144.946
1641232737964,46618.38,46735.0,46540.99,46620.41,2144.901
1641233731254,46620.41,46679.21,46445.68,46445.68,2145.55
1641235216211,46445.2,46544.14,46400.02,46481.7,2153.008
1641236115754,46481.71,46534.65,46345.28,46514.02,2152.388
1641237020945,46514.01,46646.16,46459.5,46599.99,2147.604
1641238457083,46600.0,46617.61,46407.81,46410.35,2150.308
1641239942671,46410.0,46416.0,46269.82,46269.82,2156.38
1641240399150,46269.81,46333.0,46188.0,46270.94,2163.348
1641240631697,46270.93,46343.96,46100.0,46166.01,2153.4519999999998
1641241210169,46166.1,46193.0,46000.0,46005.76,2179.338
1641241289836,46003.86,46052.66,45812.0,45996.18,2177.185
1641241329753,45996.4,46026.52,45762.71,45950.6,2180.228
1641241403532,45950.32,46052.82,45807.75,45910.3,2176.835
1641241587749,45910.31,45931.8,45700.0,45727.7,2183.21
1641241752311,45727.71,45935.2,45715.04,45919.12,2183.285
1641241891346,45919.11,45957.02,45745.73,45786.5,2179.84
1641242147571,45786.49,45877.97,45702.62,45775.61,2183.715
1641242575679,45775.88,45870.15,45665.4,45824.29,2184.426
1641242928412,45824.3,45944.0,45800.0,45859.38,2179.982
1641243462143,45859.37,45995.0,45841.48,45938.46,2176.953
1641244099156,45938.46,45955.91,45804.65,45941.99,2180.917
1641245001785,45941.85,46137.44,45913.99,46089.85,2171.531
1641245600696,46089.86,46250.0,46089.86,46115.36,2166.765
1641246008575,46115.36,46165.62,46012.73,46025.5,2169.844
1641247162875,46025.38,46158.27,45952.47,46108.08,2171.984
1641248111622,46108.08,46308.24,46062.58,46267.81,2164.059
1641249113402,46267.82,46449.99,46239.5,46239.5,2157.488
1641249767968,46239.48,46292.23,46114.0,46195.81,2165.621
1641250421754,46195.82,46358.38,46156.89,46345.94,2161.486
1641251439191,46345.95,46462.4,46327.59,46409.59,2155.397
1641251856424,46408.6,46548.59,46328.1,46534.67,2152.579
1641253000797,46533.96,46579.28,46425.01,46425.01,2150.725
1641254017181,46425.0,46521.31,46366.14,46460.01,2155.029
1641254957536,46460.0,46480.6,46240.22,46325.72,2157.592
1641255671973,46325.84,46530.0,46231.0,46511.66,2156.963
1641256156537,46513.65,46550.0,46264.54,46309.95,2156.127
1641257309947,46309.94,46335.41,46160.0,46215.8,2163.971
1641258444288,46215.92,46415.0,46185.63,46316.93,2159.38
1641259676016,46316.93,46360.0,46059.0,46068.01,2165.15
1641260888992,46067.67,46157.84,46050.0,46053.0,2169.201
1641262151156,46053.0,46091.71,45931.61,45997.41,2173.971
1641262595849,45995.28,46195.0,45952.13,46146.99,2169.525
1641263741591,46146.99,46275.58,46074.47,46155.26,2164.88
1641264598045,46152.54,46174.25,46030.01,46070.0,2169.028
1641265939616,46070.0,46278.95,46013.13,46265.88,2166.498
1641267191997,46265.89,46369.51,46223.39,46362.93,2160.138
1641268343566,46361.46,46399.97,46215.01,46220.01,2157.895
1641269128958,46219.92,46417.51,46180.0,46404.78,2161.08
1641270856671,46404.79,46408.49,46020.5,46089.14,2166.175
1641271279343,46089.13,46211.42,46068.72,46096.17,2167.661
1641272377293,46096.17,46253.5,46037.53,46217.94,2167.326
1641273813116,46216.72,46298.81,46060.0,46089.93,2164.966
1641274825969,46089.96,46216.95,46022.1,46139.8,2168.668
1641276032870,46139.0,46253.7,46062.8,46166.13,2164.977
1641277046441,46166.03,46330.0,46096.07,46287.16,2161.239
1641278051883,46287.15,46386.17,46245.01,46355.33,2161.011
1641279571745,46355.32,46465.98,46319.44,46357.52,2155.464
1641280296006,46357.53,46494.0,46304.8,46475.69,2155.704
1641281282385,46475.69,46535.98,46421.28,46498.49,2151.667
1641282153401,46497.3,46550.89,46438.64,46507.42,2150.289
1641283254682,46507.91,46690.0,46445.16,46601.17,2147.934
1641283604192,46601.16,46677.0,46560.44,46563.21,2144.952
1641284268798,46562.52,46598.92,46499.54,46559.02,2149.145
1641285521430,46559.03,46588.99,46376.82,46430.0,2152.868
1641286384447,46430.0,46580.31,46425.0,46490.08,2148.488
1641287685474,46490.0,46550.0,46398.1,46398.1,2153.678
1641288804231,46398.09,46419.57,46270.54,46353.16,2157.814
1641289430153,46353.16,46419.8,46280.0,46339.33,2157.472
1641290742782,46339.33,46455.0,46288.01,46455.0,2155.892
1641291913026,46454.99,46578.12,46450.1,46524.01,2148.877
1641292535519,46524.01,46593.84,46400.0,46593.84,2152.285
1641293017192,46593.92,46700.0,46552.76,46681.52,2144.898
1641293429074,46681.22,46750.0,46605.0,46691.4,2141.704
1641293827235,46691.41,46739.59,46599.01,46720.01,2143.149
1641294332244,46720.0,46735.3,46610.0,46679.15,2142.472
1641294947190,46679.16,46726.68,46600.46,46654.81,2143.967
1641295950620,46654.8,46736.49,46603.47,46646.24,2142.728
1641297029821,46646.25,46748.84,46607.15,46622.99,2140.921
1641298185804,46622.98,46643.77,46534.03,46534.03,2148.016
1641299065112,46534.02,46577.79,46500.0,46537.94,2148.848
1641299859111,46537.95,46598.09,46460.17,46588.92,2148.695
1641301084704,46588.93,46657.0,46456.0,46456.07,2147.875
1641302037937,46456.05,46650.39,46390.84,46650.39,2151.93
1641302762349,46650.4,46835.0,46610.32,46799.99,2139.315
1641302898165,46800.0,46907.46,46780.49,46831.94,2135.124
1641303032766,46831.95,46833.7,46712.34,46833.7,2137.655
1641303451621,46833.73,46877.0,46761.05,46843.79,2134.975
1641304094515,46843.91,46979.83,46817.25,46979.83,2132.322
1641304426878,46980.0,47088.0,46915.67,46950.13,2125.608
1641304565202,46950.0,47012.0,46890.1,46890.1,2102.568
1641305147217,46890.0,46890.39,46781.93,46871.9,2165.191
1641305523039,46871.89,46951.21,46815.0,46878.56,2130.471
1641306505670,46878.56,47016.64,46875.33,47004.97,2133.072
1641307205732,47004.96,47152.79,46989.2,47152.79,2123.249
1641307563491,47153.0,47237.83,47110.0,47229.3,2121.019
1641307669809,47229.48,47400.0,47200.0,47378.0,2114.654
1641307778776,47378.48,47415.0,47281.09,47333.46,2109.878
1641307875468,47334.13,47427.38,47259.38,47389.99,2110.736
1641308043983,47390.0,47425.0,47312.88,47319.28,2113.232
1641308391733,47319.27,47475.4,47300.66,47450.01,2038.847
1641308616624,47450.0,47524.36,47390.9,47393.53,2177.32
