open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1665961200000,-0.00044382,-0.00013602,-0.00084240,-0.00054039,0,1665964799999,0,720,0,0,0
1665964800000,-0.00052562,-0.00008728,-0.00083640,-0.00043380,0,1665968399999,0,720,0,0,0
1665968400000,-0.00044999,-0.00001851,-0.00084566,-0.00069370,0,1665971999999,0,720,0,0,0
1665972000000,-0.00055291,-0.00022561,-0.00067170,-0.00040057,0,1665975599999,0,719,0,0,0
1665975600000,-0.00042370,-0.00021470,-0.00098357,-0.00040342,0,1665979199999,0,720,0,0,0
1665979200000,-0.00053923,-0.00007555,-0.00078370,-0.00039209,0,1665982799999,0,720,0,0,0
1665982800000,-0.00037831,-0.00006862,-0.00067339,-0.00033158,0,1665986399999,0,720,0,0,0
1665986400000,-0.00039686,-0.00012716,-0.00072262,-0.00058994,0,1665989999999,0,720,0,0,0
1665990000000,-0.00052699,0.00006094,-0.00072685,-0.00056992,0,1665993599999,0,720,0,0,0
1665993600000,-0.00058226,-0.00012488,-0.00075720,-0.00048156,0,1665997199999,0,720,0,0,0
1665997200000,-0.00045599,0.00003905,-0.00072128,-0.00054273,0,1666000799999,0,720,0,0,0
1666000800000,-0.00058553,0.00014829,-0.00075660,-0.00042852,0,1666004399999,0,720,0,0,0
1666004400000,-0.00042602,0.00061697,-0.00080764,-0.00025414,0,1666007999999,0,720,0,0,0
1666008000000,-0.00029980,0.00012839,-0.00079914,-0.00039554,0,1666011599999,0,720,0,0,0
1666011600000,-0.00036658,0.00004716,-0.00096829,-0.00051503,0,1666015199999,0,720,0,0,0
1666015200000,-0.00042909,0.00005204,-0.00141951,-0.00030047,0,1666018799999,0,720,0,0,0
1666018800000,-0.00033734,0.00031912,-0.00084708,-0.00043574,0,1666022399999,0,720,0,0,0
1666022400000,-0.00055361,0,-0.00103803,-0.00041185,0,1666025999999,0,720,0,0,0
1666026000000,-0.00044026,0.00002739,-0.00078520,-0.00038389,0,1666029599999,0,720,0,0,0
1666029600000,-0.00038506,0.00024230,-0.00100285,-0.00037916,0,1666033199999,0,720,0,0,0
1666033200000,-0.00047063,0.00009846,-0.00066726,-0.00025275,0,1666036799999,0,720,0,0,0
1666036800000,-0.00027831,0.00007710,-0.00070680,-0.00044371,0,1666040399999,0,720,0,0,0
1666040400000,-0.00044002,0.00006220,-0.00065134,-0.00032864,0,1666043999999,0,720,0,0,0
1666044000000,-0.00029728,0.00043364,-0.00081400,-0.00050567,0,1666047599999,0,720,0,0,0
1666047600000,-0.00054462,-0.00009743,-0.00070605,-0.00037323,0,1666051199999,0,720,0,0,0
1666051200000,-0.00035416,0.00029033,-0.00075412,-0.00041876,0,1666054799999,0,720,0,0,0
1666054800000,-0.00035737,-0.00016249,-0.00091011,-0.00029584,0,1666058399999,0,720,0,0,0
1666058400000,-0.00028597,-0.00009269,-0.00073276,-0.00026855,0,1666061999999,0,720,0,0,0
1666062000000,-0.00021110,0.00018097,-0.00069134,-0.00032206,0,1666065599999,0,720,0,0,0
1666065600000,-0.00031473,-0.00013219,-0.00064251,-0.00036606,0,1666069199999,0,720,0,0,0
1666069200000,-0.00035926,-0.00011484,-0.00091785,-0.00034732,0,1666072799999,0,720,0,0,0
1666072800000,-0.00036862,0.00041631,-0.00102418,-0.00033493,0,1666076399999,0,720,0,0,0
1666076400000,-0.00036057,0.00020196,-0.00075870,-0.00054210,0,1666079999999,0,720,0,0,0
1666080000000,-0.00052308,0.00013740,-0.00136343,-0.00062051,0,1666083599999,0,720,0,0,0
1666083600000,-0.00044850,0.00000084,-0.00098171,-0.00039942,0,1666087199999,0,720,0,0,0
1666087200000,-0.00035664,-0.00009275,-0.00070782,-0.00038445,0,1666090799999,0,718,0,0,0
1666090800000,-0.00037064,-0.00015326,-0.00063223,-0.00045539,0,1666094399999,0,720,0,0,0
1666094400000,-0.00043686,-0.00002852,-0.00082304,-0.00044293,0,1666097999999,0,720,0,0,0
1666098000000,-0.00046519,0.00012872,-0.00079996,-0.00038362,0,1666101599999,0,720,0,0,0
1666101600000,-0.00026824,0.00043948,-0.00099970,-0.00052451,0,1666105199999,0,720,0,0,0
1666105200000,-0.00049738,0.00005322,-0.00099649,-0.00021096,0,1666108799999,0,720,0,0,0
1666108800000,-0.00036583,-0.00001268,-0.00086377,-0.00041206,0,1666112399999,0,720,0,0,0
1666112400000,-0.00043261,-0.00011557,-0.00082012,-0.00038459,0,1666115999999,0,720,0,0,0
1666116000000,-0.00042009,0.00011124,-0.00109424,-0.00040985,0,1666119599999,0,720,0,0,0
1666119600000,-0.00047454,0.00002009,-0.00104357,-0.00049477,0,1666123199999,0,720,0,0,0
1666123200000,-0.00035312,0.00080105,-0.00108738,-0.00044862,0,1666126799999,0,720,0,0,0
1666126800000,-0.00038822,0.00037926,-0.00129289,-0.00033377,0,1666130399999,0,720,0,0,0
1666130400000,-0.00054613,-0.00003156,-0.00077361,-0.00040596,0,1666133999999,0,720,0,0,0
1666134000000,-0.00043082,-0.00003984,-0.00079051,-0.00038780,0,1666137599999,0,720,0,0,0
1666137600000,-0.00040810,-0.00005621,-0.00080033,-0.00048539,0,1666141199999,0,720,0,0,0
1666141200000,-0.00037343,0.00002790,-0.00051001,-0.00044538,0,1666144799999,0,720,0,0,0
1666144800000,-0.00040129,0.00007750,-0.00077488,-0.00026373,0,1666148399999,0,720,0,0,0
1666148400000,-0.00025440,0.00007095,-0.00053167,-0.00034781,0,1666151999999,0,720,0,0,0
1666152000000,-0.00043749,-0.00002750,-0.00065371,-0.00031353,0,1666155599999,0,720,0,0,0
1666155600000,-0.00033664,-0.00006119,-0.00072724,-0.00039578,0,1666159199999,0,720,0,0,0
1666159200000,-0.00036335,0,-0.00091123,-0.00034072,0,1666162799999,0,719,0,0,0
1666162800000,-0.00039760,-0.00002108,-0.00111890,-0.00037449,0,1666166399999,0,720,0,0,0
1666166400000,-0.00043672,-0.00009454,-0.00102639,-0.00039021,0,1666169999999,0,720,0,0,0
1666170000000,-0.00038583,-0.00010683,-0.00068946,-0.00040304,0,1666173599999,0,720,0,0,0
1666173600000,-0.00037108,-0.00017860,-0.00083295,-0.00032796,0,1666177199999,0,720,0,0,0
1666177200000,-0.00029067,-0.00011011,-0.00077150,-0.00038445,0,1666180799999,0,720,0,0,0
1666180800000,-0.00036569,-0.00006054,-0.00078980,-0.00041072,0,1666184399999,0,720,0,0,0
1666184400000,-0.00040486,0.00010391,-0.00120713,-0.00034457,0,1666187999999,0,720,0,0,0
1666188000000,-0.00034717,0.00005862,-0.00077028,-0.00052149,0,1666191599999,0,720,0,0,0
1666191600000,-0.00057570,0.00093215,-0.00076554,-0.00041127,0,1666195199999,0,720,0,0,0
1666195200000,-0.00038099,0.00010598,-0.00068614,-0.00025874,0,1666198799999,0,720,0,0,0
1666198800000,-0.00018173,-0.00010783,-0.00077222,-0.00031249,0,1666202399999,0,720,0,0,0
1666202400000,-0.00028905,0.00005830,-0.00073095,-0.00031016,0,1666205999999,0,720,0,0,0
1666206000000,-0.00032569,0.00005196,-0.00071495,-0.00031928,0,1666209599999,0,720,0,0,0
1666209600000,-0.00020572,-0.00002797,-0.00085807,-0.00046717,0,1666213199999,0,720,0,0,0
