timestamp,btc_short_liquidations
1615716300000.0,480.25
1615717200000.0,10806.21
1615718100000.0,10924.3
1615718400000.0,10836.17
1615718700000.0,13839.65
1615719300000.0,17371.49
1615720200000.0,15936.44
1615720500000.0,16006.62
1615720800000.0,20370.77
1615721100000.0,17699.88
1615721400000.0,14583.23
1615721700000.0,16674.14
1615722300000.0,21841.4
1615722600000.0,43205.25
1615723200000.0,1328.9
1615723800000.0,5223.68
1615724400000.0,11366.64
1615725000000.0,1021.79
1615725900000.0,6648.86
1615726800000.0,13348.55
1615728000000.0,15386.53
1615728600000.0,15634.16
1615729200000.0,11820.19
1615729800000.0,10900.92
1615730400000.0,22601.81
1615731000000.0,1051.85
1615731600000.0,18028.55
1615732500000.0,11868.17
1615733400000.0,12716.87
1615734300000.0,13614.67
1615735200000.0,20542.71
1615735800000.0,10777.94
1615736400000.0,11202.32
1615736700000.0,11037.35
1615737300000.0,7300.33
1615737600000.0,19778.77
1615737900000.0,33468.46
1615738200000.0,10843.37
1615738500000.0,2022.86
1615739100000.0,16190.59
1615740000000.0,8830.4
1615740600000.0,1252.88
1615741500000.0,11597.96
1615742100000.0,8567.79
1615743000000.0,10552.93
1615743900000.0,29249.03
1615745100000.0,11049.9
1615746000000.0,22605.66
1615747200000.0,10028.94
1615748100000.0,3638.43
1615749600000.0,13132.02
1615751100000.0,1574.6
1615752000000.0,12462.0
1615752900000.0,12837.11
1615754100000.0,43998.55
1615755300000.0,22645.54
1615755900000.0,10633.84
1615756800000.0,13326.73
1615758000000.0,15426.0
1615759800000.0,36367.58
1615760700000.0,4662.42
1615761900000.0,19395.06
1615763100000.0,25094.75
1615763700000.0,15664.73
1615764000000.0,11549.74
1615764900000.0,10937.17
1615765200000.0,32095.5
1615765800000.0,12971.33
1615766100000.0,29213.79
1615766400000.0,67828.91
1615766700000.0,20670.47
1615767000000.0,53634.77
1615767600000.0,27364.46
1615768200000.0,12729.59
1615768800000.0,2995.8
1615769400000.0,13479.4
1615770000000.0,13782.17
1615770300000.0,7498.65
1615770900000.0,38899.26
1615771500000.0,22107.68
1615772100000.0,15108.44
1615773000000.0,34142.68
1615773900000.0,10578.0
1615774800000.0,1746.91
1615776300000.0,5264.99
1615777500000.0,11606.41
1615779300000.0,18408.96
1615780200000.0,4284.39
1615781100000.0,11174.09
1615782300000.0,15736.43
1615782900000.0,13033.31
1615783500000.0,16549.27
1615784100000.0,17807.49
1615784700000.0,29335.19
1615785600000.0,12890.01
1615786500000.0,10884.55
1615786800000.0,13354.38
1615787400000.0,10978.85
1615787700000.0,11008.93
1615788000000.0,27613.87
1615788300000.0,12630.82
1615788900000.0,17991.86
1615789500000.0,18463.22
1615790100000.0,41649.16
1615790400000.0,22780.72
1615790700000.0,3104.68
1615791000000.0,21575.72
1615791600000.0,37387.79
1615792200000.0,16112.29
1615792500000.0,40437.73
1615792800000.0,24845.77
1615793100000.0,109903.62
1615793400000.0,77863.57
1615793700000.0,14015.51
1615794000000.0,29198.01
1615794300000.0,23292.35
1615794900000.0,67536.81
1615795500000.0,30810.07
1615795800000.0,14592.05
1615796400000.0,13688.48
1615797000000.0,12061.58
1615797300000.0,12652.8
1615797900000.0,19232.64
1615798500000.0,8753.56
1615798800000.0,20490.08
1615799100000.0,17548.0
1615799700000.0,14579.49
1615800000000.0,92367.1
1615800300000.0,174513.65
1615800600000.0,24531.37
1615800900000.0,23115.06
1615801200000.0,70745.61
1615801500000.0,70828.1
1615801800000.0,26879.49
1615802100000.0,37782.84
1615802400000.0,12784.75
1615802700000.0,52327.65
1615803000000.0,10038.7
1615803300000.0,26438.53
1615803900000.0,12867.91
1615804200000.0,16399.77
1615804800000.0,25889.27
1615805400000.0,33359.47
1615806000000.0,15103.68
1615806300000.0,11102.99
1615806600000.0,18779.34
1615807200000.0,14969.05
1615807800000.0,9136.24
1615808400000.0,20052.44
1615809000000.0,14298.91
1615809600000.0,39162.46
1615810200000.0,16625.43
1615810500000.0,17144.48
1615810800000.0,24059.77
1615811100000.0,19137.96
1615811400000.0,45983.04
1615811700000.0,3032.63
1615812000000.0,17379.84
1615812600000.0,25069.87
1615813200000.0,38806.08
1615813800000.0,11249.36
1615814100000.0,14937.93
1615814400000.0,13427.29
1615814700000.0,30739.97
1615815000000.0,12953.76
1615815300000.0,17653.56
1615815900000.0,31633.91
1615816500000.0,2767.92
1615817100000.0,15545.69
1615817400000.0,11824.32
1615817700000.0,13801.75
1615818300000.0,10695.1
1615818900000.0,17210.65
1615819200000.0,54305.59
1615819500000.0,16197.99
1615820100000.0,18011.85
1615820400000.0,60186.62
1615820700000.0,28044.88
1615821300000.0,10342.19
1615821900000.0,15331.09
1615822500000.0,16220.77
1615822800000.0,30414.87
1615823400000.0,3747.43
1615824000000.0,23457.62
1615824300000.0,50720.56
1615824600000.0,42693.58
1615824900000.0,16960.21
1615825500000.0,12417.12
1615826100000.0,16565.3
1615826700000.0,13739.01
1615827300000.0,14610.35
1615827900000.0,13454.84
1615828500000.0,4990.77
1615828800000.0,21202.24
1615829400000.0,32403.05
1615830000000.0,16520.16
1615830600000.0,6999.38
1615831200000.0,12097.2
1615831800000.0,14241.69
1615832700000.0,35402.02
1615833300000.0,10997.22
1615834200000.0,25443.51
1615835100000.0,20158.31
1615836300000.0,12029.65
1615837500000.0,16208.27
1615838100000.0,10471.11
1615839300000.0,10143.42
1615839600000.0,13538.46
1615840500000.0,13379.09
1615841100000.0,10069.36
1615841400000.0,10643.72
1615842300000.0,11325.56
1615843500000.0,44753.82
1615845000000.0,996.76
1615845900000.0,10382.01
1615846800000.0,16397.51
1615847400000.0,10127.52
1615848300000.0,10957.4
1615849200000.0,35994.0
1615850100000.0,11270.89
1615851000000.0,11862.26
1615851900000.0,19100.16
1615852200000.0,16189.79
1615852800000.0,50617.99
1615853100000.0,12781.0
1615853400000.0,10552.65
1615854000000.0,17246.93
1615854300000.0,23593.85
1615854600000.0,26620.63
1615854900000.0,14937.41
1615855200000.0,6461.27
1615855500000.0,20890.79
1615855800000.0,34209.52
1615856100000.0,50641.43
1615856700000.0,38786.83
1615857000000.0,16526.52
1615857300000.0,60494.55
1615857600000.0,10364.49
1615857900000.0,49051.44
1615858200000.0,16331.95
1615858800000.0,5628.33
1615859400000.0,7294.01
1615860000000.0,18662.46
1615860600000.0,5032.09
1615861200000.0,3026.9
1615862100000.0,3269.98
1615863000000.0,9739.68
1615863900000.0,17040.26
1615864500000.0,7850.04
1615865100000.0,51313.26
1615865700000.0,10934.72
1615866300000.0,14289.05
1615867200000.0,18964.03
1615868100000.0,33356.03
1615868700000.0,10031.7
1615869300000.0,3836.73
1615870200000.0,17235.03
1615871100000.0,27868.49
1615872000000.0,15747.29
1615872900000.0,14135.48
1615873500000.0,26089.89
1615874100000.0,35023.43
1615874700000.0,14363.33
1615875600000.0,24212.8
1615876200000.0,141424.89
1615876800000.0,101806.83
1615877400000.0,14650.34
1615877700000.0,48689.28
1615878300000.0,11663.45
1615878900000.0,1827.99
1615879500000.0,14518.13
1615880100000.0,56629.48
1615880700000.0,17118.85
1615881600000.0,74812.56
1615882200000.0,9216.95
1615882500000.0,51098.36
