timestamp,btc_long_liquidations
1631099700000.0,15965.37
1631100300000.0,13988.08
1631101200000.0,12047.12
1631102100000.0,14798.02
1631103000000.0,12880.75
1631104200000.0,3201.24
1631105100000.0,79706.97
1631105400000.0,13349.82
1631106000000.0,12771.88
1631106600000.0,113401.27
1631107200000.0,26264.97
1631107500000.0,23374.11
1631107800000.0,30135.16
1631108100000.0,14608.39
1631108700000.0,72700.66
1631109300000.0,4234.82
1631109900000.0,577.77
1631110500000.0,10031.27
1631111100000.0,9387.46
1631112000000.0,75110.55
1631112300000.0,13338.49
1631112600000.0,11133.08
1631112900000.0,18613.66
1631113500000.0,16963.77
1631114100000.0,7305.75
1631114400000.0,7298.08
1631115000000.0,10442.35
1631115900000.0,24377.18
1631116800000.0,11630.78
1631117400000.0,13898.2
1631118300000.0,11785.28
1631118900000.0,13672.92
1631119500000.0,10937.61
1631120100000.0,23361.15
1631121300000.0,22595.92
1631122200000.0,19421.4
1631122800000.0,11272.04
1631123700000.0,2743.09
1631124900000.0,10908.74
1631125800000.0,13502.93
1631127600000.0,5655.05
1631128800000.0,10816.73
1631130300000.0,54802.82
1631131500000.0,24397.15
1631132100000.0,12340.93
1631132700000.0,12196.53
1631133900000.0,13070.94
1631135100000.0,17137.21
1631136300000.0,10500.64
1631137800000.0,10747.24
1631138700000.0,18503.99
1631139600000.0,12779.74
1631139900000.0,2882.71
1631140500000.0,10881.88
1631141100000.0,14201.9
1631142000000.0,14633.02
1631142600000.0,22476.64
1631143800000.0,24680.71
1631144700000.0,20490.04
1631145300000.0,12353.68
1631145900000.0,13215.27
1631146200000.0,16164.29
1631147100000.0,21921.63
1631148000000.0,5270.96
1631148900000.0,11925.91
1631149800000.0,28149.52
1631150700000.0,8248.63
1631151900000.0,12031.46
1631153100000.0,12442.83
1631154300000.0,96754.76
1631154900000.0,11336.76
1631155500000.0,9508.94
1631156400000.0,23766.5
1631156700000.0,17518.5
1631157000000.0,15547.55
1631157600000.0,10503.95
1631158500000.0,6266.04
1631159700000.0,12270.93
1631160600000.0,11644.22
1631161800000.0,10958.68
1631162700000.0,1467.0
1631163600000.0,11354.09
1631164800000.0,5679.91
1631165700000.0,11833.82
1631167200000.0,17678.26
1631168400000.0,2655.65
1631169300000.0,10184.51
1631170800000.0,25006.12
1631171100000.0,14497.74
1631172000000.0,6414.16
1631173500000.0,13332.65
1631174400000.0,15990.7
1631175000000.0,2876.92
1631175600000.0,13282.74
1631176200000.0,24649.21
1631177400000.0,13160.03
1631178300000.0,1488.34
1631179800000.0,17451.57
1631181300000.0,40575.75
1631181900000.0,10011.47
1631182200000.0,16629.46
1631182800000.0,14315.49
1631183700000.0,12262.17
1631184600000.0,10146.66
1631185500000.0,13377.63
1631186700000.0,10110.3
1631187600000.0,11625.66
1631188200000.0,11725.32
1631189100000.0,10886.21
1631189400000.0,52811.86
1631190000000.0,16687.0
1631190600000.0,76972.35
1631190900000.0,21297.89
1631191200000.0,12362.75
1631191500000.0,11866.66
1631191800000.0,24722.3
1631192100000.0,57699.63
1631192400000.0,39041.99
1631192700000.0,24627.49
1631193000000.0,22159.08
1631193300000.0,11750.84
1631193600000.0,3953.39
1631193900000.0,10960.63
1631194200000.0,20989.16
1631194800000.0,16708.04
1631195400000.0,2807.24
1631196000000.0,13142.85
1631196600000.0,22632.28
1631197500000.0,11552.73
1631198700000.0,67356.96
1631200200000.0,13214.71
1631200800000.0,14303.45
1631202000000.0,12209.61
1631203200000.0,8353.55
1631204100000.0,16743.17
1631205000000.0,14392.79
1631205900000.0,10155.64
1631206500000.0,18957.17
1631206800000.0,10545.06
1631207400000.0,6662.51
1631208600000.0,25317.48
1631209500000.0,15101.05
1631210400000.0,17273.17
1631211300000.0,22057.15
1631211900000.0,10811.24
1631212200000.0,8332.67
1631212800000.0,7507.56
1631214000000.0,5977.3
1631215200000.0,11105.08
1631216400000.0,7005.68
1631218500000.0,48207.84
1631219100000.0,24683.54
1631219400000.0,1719.93
1631220000000.0,11779.28
1631221200000.0,10708.71
1631222700000.0,10045.28
1631224200000.0,12182.92
1631225700000.0,14424.66
1631226900000.0,10753.7
1631228700000.0,9957.18
1631230500000.0,8082.28
1631232000000.0,10006.38
1631232900000.0,10363.69
1631234100000.0,10636.24
1631235300000.0,12757.77
1631237100000.0,18451.77
1631238000000.0,3042.75
1631238600000.0,9714.88
1631239800000.0,1584.18
1631241300000.0,17916.57
1631242800000.0,14103.39
1631244000000.0,11159.73
1631245800000.0,11770.42
1631247900000.0,31819.47
1631250000000.0,14332.58
1631250300000.0,18547.07
1631250900000.0,16670.07
1631251500000.0,10617.79
1631253000000.0,2304.03
1631254800000.0,15315.88
1631256300000.0,1192.51
1631257500000.0,66016.13
1631258400000.0,10257.59
1631259000000.0,20754.86
1631259600000.0,16398.57
1631259900000.0,9137.26
1631260500000.0,2790.85
1631261100000.0,1574.31
1631261400000.0,10506.77
1631262000000.0,200720.43
1631262900000.0,11738.06
1631263200000.0,18133.01
1631263800000.0,13697.92
1631264700000.0,33721.08
1631265600000.0,12098.42
1631266200000.0,11863.34
1631266500000.0,376.11
1631267100000.0,10560.8
1631267700000.0,12287.52
1631268900000.0,10276.94
1631270400000.0,11641.72
1631271000000.0,17224.56
1631272200000.0,10960.76
1631273100000.0,10720.71
1631274300000.0,13583.81
1631275200000.0,26482.23
1631276100000.0,8922.84
1631276400000.0,12528.84
1631277300000.0,13756.6
1631278200000.0,4604.3
1631278800000.0,12802.1
1631279400000.0,45105.62
1631280000000.0,19853.64
1631280600000.0,17501.67
1631280900000.0,22572.15
1631281200000.0,12490.71
1631281800000.0,27107.61
1631282700000.0,69240.06
1631283000000.0,8021.52
1631283300000.0,30768.51
1631283900000.0,73550.92
1631284200000.0,36941.41
1631284500000.0,18610.28
1631284800000.0,27068.3
1631285100000.0,17636.89
1631285400000.0,19574.64
1631286000000.0,2531.73
1631286300000.0,48012.27
1631286900000.0,15000.9
1631287200000.0,12296.1
1631287800000.0,15535.77
1631288400000.0,12279.33
1631288700000.0,22384.13
1631289300000.0,3413.95
1631289900000.0,13607.66
1631290800000.0,14688.33
1631292000000.0,11923.38
1631293200000.0,11726.58
1631294700000.0,11391.69
1631295600000.0,12521.02
1631297100000.0,11015.77
1631298300000.0,9455.47
1631298900000.0,11288.79
1631301000000.0,15055.9
1631302500000.0,11016.8
1631304300000.0,7272.97
1631305800000.0,65949.03
1631306400000.0,11568.21
1631307000000.0,19884.14
1631307600000.0,10933.62
1631308200000.0,13606.66
1631309400000.0,117770.9
1631310000000.0,28842.34
1631310600000.0,83966.44
1631310900000.0,12086.79
1631311200000.0,23016.28
1631311800000.0,10965.98
1631312400000.0,11019.99
1631313300000.0,18241.67
1631313900000.0,33653.85
1631314500000.0,15347.48
1631315100000.0,10419.82
1631315700000.0,12311.09
1631316900000.0,10573.89
1631318100000.0,9059.2
1631318700000.0,12787.28
1631319300000.0,2951.63
1631320200000.0,10954.22
1631321400000.0,11071.19
1631322600000.0,14432.15
1631323500000.0,10946.64
1631324700000.0,11996.64
1631325600000.0,10016.58
1631327400000.0,10386.23
1631328300000.0,5698.13
1631329500000.0,29712.8
1631331000000.0,13297.5
1631332200000.0,16359.01
1631333100000.0,19446.94
1631334300000.0,10327.98
1631335200000.0,7921.63
1631336700000.0,27711.16
1631337900000.0,10991.0
1631339100000.0,15250.67
1631340300000.0,9204.8
1631342100000.0,10503.04
1631343600000.0,13722.55
1631344500000.0,26784.94
1631345100000.0,14871.35
1631345700000.0,10043.67
1631346600000.0,10359.7
1631347500000.0,9658.82
1631349000000.0,12375.2
1631350200000.0,14936.4
1631351400000.0,13058.37
1631352600000.0,12189.56
1631353800000.0,17284.26
1631354400000.0,16088.19
1631354700000.0,10322.29
1631355300000.0,16545.08
1631356200000.0,3508.42
1631356800000.0,11103.53
1631358000000.0,18456.46
1631359500000.0,10399.51
1631361300000.0,11998.65
1631362800000.0,10069.11
1631363100000.0,2640.37
1631364000000.0,13470.88
1631365500000.0,24438.42
1631367300000.0,14826.72
1631368800000.0,14844.24
1631370300000.0,639.74
1631371500000.0,11285.62
1631373000000.0,4369.62
1631374800000.0,10114.56
1631376300000.0,11551.61
1631376900000.0,11933.74
1631378100000.0,17948.39
1631378400000.0,10359.12
1631379000000.0,4024.71
1631380200000.0,14355.71
1631381400000.0,10228.53
1631383200000.0,7370.59
1631384700000.0,11086.92
1631387100000.0,16373.25
1631388300000.0,18302.38
1631388900000.0,10326.95
1631390400000.0,25611.48
1631391000000.0,12647.28
1631392800000.0,4000.92
1631394900000.0,2905.72
1631397900000.0,15076.53
1631399100000.0,11422.96
1631399700000.0,14642.57
1631401200000.0,12971.06
1631402400000.0,4026.88
1631403600000.0,10036.42
1631404800000.0,10228.37
1631405400000.0,16837.01
1631406300000.0,25270.85
1631406900000.0,4678.0
1631407500000.0,12746.69
1631408100000.0,1080.67
1631409300000.0,7075.95
1631410200000.0,11152.03
1631412000000.0,17610.1
1631413200000.0,11545.04
1631414400000.0,10966.44
1631415600000.0,10323.08
1631417100000.0,11022.9
1631419200000.0,12404.64
1631421000000.0,4272.47
1631422200000.0,12610.27
1631423400000.0,18958.62
1631425500000.0,5203.4
1631427600000.0,16149.42
1631429400000.0,5557.41
1631430600000.0,12369.92
1631432400000.0,10255.85
1631433300000.0,7012.07
1631434200000.0,36953.9
1631434800000.0,22212.43
1631435100000.0,12031.53
1631435700000.0,10253.92
1631436300000.0,20793.63
1631437200000.0,7382.76
1631437500000.0,1116.71
1631438700000.0,18993.3
1631439900000.0,4859.17
1631440800000.0,1384.95
1631441400000.0,10859.15
1631442900000.0,12041.08
1631444400000.0,951.88
1631445600000.0,11983.37
1631447700000.0,10808.83
1631448300000.0,13966.32
1631449800000.0,10425.48
1631451000000.0,10135.45
1631452500000.0,15577.95
1631453700000.0,59097.47
1631454000000.0,11001.61
1631454300000.0,11105.47
1631455200000.0,6971.2
1631456400000.0,10387.86
1631457900000.0,15539.77
1631459700000.0,9540.29
1631461200000.0,11901.3
1631462700000.0,13316.84
1631464200000.0,18701.18
1631465400000.0,10358.36
1631467200000.0,13754.09
1631469900000.0,12372.61
1631472000000.0,11356.45
1631474700000.0,13817.44
1631477400000.0,10169.8
1631478300000.0,266953.82
1631478900000.0,18881.28
1631479200000.0,11346.06
1631479500000.0,32605.98
1631480100000.0,9173.35
1631480400000.0,7683.39
1631480700000.0,11019.66
1631481300000.0,11040.14
